dates,con,gen,off,inj,price [€/MWh],cleared_volume [MW]
2024-12-31 23:00:00+00:00,,,0.19325,0.0,10.62,742.525
2024-12-31 23:15:00+00:00,,,2.825,0.0,10.62,742.525
2024-12-31 23:30:00+00:00,,,17.4,0.0,10.62,742.525
2024-12-31 23:45:00+00:00,,,6.625,0.0,10.62,742.525
2025-01-01 00:00:00+00:00,,,9.4,0.0,10.27,695.6
2025-01-01 00:15:00+00:00,,,20.4,0.0,10.27,695.6
2025-01-01 00:30:00+00:00,,,19.325,0.0,10.27,695.6
2025-01-01 00:45:00+00:00,,,17.525,0.0,10.27,695.6
2025-01-01 01:00:00+00:00,,,5.85,0.0,8.38,665.8
2025-01-01 01:15:00+00:00,,,7.425,0.0,8.38,665.8
2025-01-01 01:30:00+00:00,,,4.05,0.0,8.38,665.8
2025-01-01 01:45:00+00:00,,,0.0,1.67,8.38,665.8
2025-01-01 02:00:00+00:00,,,26.25,0.0,6.61,645.075
2025-01-01 02:15:00+00:00,,,19.7,0.0,6.61,645.075
2025-01-01 02:30:00+00:00,,,18.325,0.0,6.61,645.075
2025-01-01 02:45:00+00:00,,,19.25,0.0,6.61,645.075
2025-01-01 03:00:00+00:00,,,15.7,0.0,2.29,663.575
2025-01-01 03:15:00+00:00,,,12.7,0.0,2.29,663.575
2025-01-01 03:30:00+00:00,,,0.0,6.6,2.29,663.575
2025-01-01 03:45:00+00:00,,,0.0,4.55,2.29,663.575
2025-01-01 04:00:00+00:00,,,31.25,0.0,3.01,668.125
2025-01-01 04:15:00+00:00,,,16.1,0.0,3.01,668.125
2025-01-01 04:30:00+00:00,,,14.35,0.0,3.01,668.125
2025-01-01 04:45:00+00:00,,,3.125,0.0,3.01,668.125
2025-01-01 05:00:00+00:00,,,29.0,0.0,3.52,693.775
2025-01-01 05:15:00+00:00,,,28.25,0.0,3.52,693.775
2025-01-01 05:30:00+00:00,,,0.0,8.3,3.52,693.775
2025-01-01 05:45:00+00:00,,,17.5,0.0,3.52,693.775
2025-01-01 06:00:00+00:00,,,18.425,0.0,2.55,699.3
2025-01-01 06:15:00+00:00,,,28.0,0.0,2.55,699.3
2025-01-01 06:30:00+00:00,,,8.325,0.0,2.55,699.3
2025-01-01 06:45:00+00:00,,,15.275,0.0,2.55,699.3
2025-01-01 07:00:00+00:00,,,49.5,0.0,4.24,804.825
2025-01-01 07:15:00+00:00,,,2.2125,0.0,4.24,804.825
2025-01-01 07:30:00+00:00,,,7.875,0.0,4.24,804.825
2025-01-01 07:45:00+00:00,,,20.1,0.0,4.24,804.825
2025-01-01 08:00:00+00:00,,,36.0,0.0,7.5,832.725
